nome_produto,posicao_banner,data_inicio,data_fim,categoria_informada
Mesa de Jantar Linea Brasil Adonai 4 Cadeiras Branco,4,15/02/2025,28/02/2025,Móveis
Panela Eletrica de Pressao Britania Turbo 4L Inox,5,15/01/2025,29/01/2025,Utilidades Domésticas
Fone de Ouvido Philco Hit Bluetooth In-Ear Grafite,5,01/02/2025,08/02/2025,"TV, Áudio e Vídeo"
Sofa Artely Treviso 3 Lugares Cinza,5,08/02/2025,15/02/2025,Móveis
PURIFICADOR DE AR PHILCO ECO INVERTER HEPA ATÉ 40M² PRATA,3,08/02/2025,22/02/2025,Climatizacao
Lavar de Máquina Arno Deluxe 8kg Preto,3,01/02/2025,15/02/2025,Eletrodomesticos
Piscina Inflavel Gallant Extreme 5000L Estrutural Grafite 110V,3,08/02/2025,22/02/2025,Esporte e Lazer
Grill Elet. Mallory Delfino Churrasqueira Elet. 1800W Preto,1,22/02/2025,28/02/2025,Utilidades Domésticas
VENTILADOR DE COLUNA LG THINQ 60CM TURBO PRETO,1,01/02/2025,15/02/2025,Climatizacao
Piscina Inflavel Gallant Force 2000L,5,01/01/2025,08/01/2025,Esporte e Lazer
Freezer Vertical Brastemp Gourmand 142L,4,08/02/2025,15/02/2025,
AQUECEDOR ELÉTRICO MIDEA XTREME SAVE 2000W GRAFITE,5,08/02/2025,22/02/2025,
Lixadeira Orbital Tramontina Smart 200W Grafite,5,22/01/2025,29/01/2025,Ferramentas
Cortina de Ar LG Dual Inverter 150cm Grafite,5,15/02/2025,22/02/2025,Climatização
Fita LED Philips Walita 10m Smart Wi-Fi Inox,5,08/02/2025,22/02/2025,Iluminação
Sofá Caemmun Lord Canto 5,4,22/02/2025,28/02/2025,Móveis
Geladeira Samsung Evolution Frost Free 431L Inox,3,15/02/2025,28/02/2025,Eletrodomésticos
Caixa de Som Bluetooth AOC Roku TV 100W Party Cinza,3,22/01/2025,29/01/2025,"TV, Áudio e Vídeo"
GELADEIRA ATIVE! BRASTEMP DUPLEX 362L,5,15/01/2025,22/01/2025,Eletrodomésticos
Desumidificador Electrolux Pure i9 12L/dia Cinza,4,08/02/2025,22/02/2025,Climatização
Micro-ondas LG Dual Inverter Voice 20L Grafite,5,22/01/2025,12/02/2025,
SOUNDBAR LG NEOCHEF 500W 5.1 PRETO,2,08/01/2025,15/01/2025,"TV, Áudio e Vídeo"
Projetor Digital Samsung Inverter Full HD 3500 Lumens Preto,2,01/02/2025,22/02/2025,"TV, Áudio e Vídeo"
FREEZER VERTICAL BRITÂNIA MEGA 142L INOX,2,15/02/2025,28/02/2025,Eletrodomésticos
Ventilador Portátil Arno Supreme Ultra Silence 40cm,2,15/01/2025,28/01/2025,Climatização
Eletrica Esteira Gallant Combat ate,1,08/01/2025,29/01/2025,Esporte e Lazer
Climatizador de Ar LG NeoChef,5,01/02/2025,08/02/2025,
Climatizador Ar de Elgin,4,01/01/2025,22/01/2025,Climatização
Purificador de Ar LG Smart HEPA ate 40m2 Grafite,1,15/01/2025,22/01/2025,Climatizacao
DE MESA PING PONG GALLANT EXTREME MDF 18MM DOBRÁVEL,2,15/01/2025,22/01/2025,Esporte e Lazer
DE CAIXA SOM BLUETOOTH PHILIPS HUE 100W PARTY INOX,2,15/01/2025,05/02/2025,"TV, Áudio e Vídeo"
